VALUE,CLASS_NAME
0,Background
1,Corn
2,Cotton
3,Rice
4,Sorghum
5,Soybeans
6,Sunflower
7,NA
8,NA
9,NA
10,Peanuts
11,Tobacco
12,Sweet Corn
13,Pop or Orn Corn
14,Mint
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,Barley
22,Durum Wheat
23,Spring Wheat
24,Winter Wheat
25,Other Small Grains
26,Dbl Crop WinWht/Soybeans
27,Rye
28,Oats
29,Millet
30,Speltz
31,Canola
32,Flaxseed
33,Safflower
34,Rape Seed
35,Mustard
36,Alfalfa
37,Other Hay/Non Alfalfa
38,Camelina
39,Buckwheat
40,NA
41,Sugarbeets
42,Dry Beans
43,Potatoes
44,Other Crops
45,Sugarcane
46,Sweet Potatoes
47,Misc Vegs & Fruits
48,Watermelons
49,Onions
50,Cucumbers
51,Chick Peas
52,Lentils
53,Peas
54,Tomatoes
55,Caneberries
56,Hops
57,Herbs
58,Clover/Wildflowers
59,Sod/Grass Seed
60,Switchgrass
61,Fallow/Idle Cropland
62,Pasture/Grass
63,Forest
64,Shrubland
65,Barren
66,Cherries
67,Peaches
68,Apples
69,Grapes
70,Christmas Trees
71,Other Tree Crops
72,Citrus
73,NA
74,Pecans
75,Almonds
76,Walnuts
77,Pears
78,NA
79,NA
80,NA
81,Clouds/No Data
82,Developed
83,Water
84,NA
85,NA
86,NA
87,Wetlands
88,Nonag/Undefined
89,NA
90,NA
91,NA
92,Aquaculture
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,Open Water
112,Perennial Ice/Snow
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,Developed/Open Space
122,Developed/Low Intensity
123,Developed/Med Intensity
124,Developed/High Intensity
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,Barren
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,Deciduous Forest
142,Evergreen Forest
143,Mixed Forest
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,Shrubland
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,Grassland Herbaceous
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,Pasture/Hay
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,Woody Wetlands
191,NA
192,NA
193,NA
194,NA
195,Herbaceous Wetlands
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,Pistachios
205,Triticale
206,Carrots
207,Asparagus
208,Garlic
209,Cantaloupes
210,Prunes
211,Olives
212,Oranges
213,Honeydew Melons
214,Broccoli
215,NA
216,Peppers
217,Pomegranates
218,Nectarines
219,Greens
220,Plums
221,Strawberries
222,Squash
223,Apricots
224,Vetch
225,Dbl Crop WinWht/Corn
226,Dbl Crop Oats/Corn
227,Lettuce
228,Dbl Crop Triticale/Corn
229,Pumpkins
230,Dbl Crop Lettuce/Durum Wht
231,Dbl Crop Lettuce/Cantaloupe
232,Dbl Crop Lettuce/Cotton
233,Dbl Crop Lettuce/Barley
234,Dbl Crop Durum Wht/Sorghum
235,Dbl Crop Barley/Sorghum
236,Dbl Crop WinWht/Sorghum
237,Dbl Crop Barley/Corn
238,Dbl Crop WinWht/Cotton
239,Dbl Crop Soybeans/Cotton
240,Dbl Crop Soybeans/Oats
241,Dbl Crop Corn/Soybeans
242,Blueberries
243,Cabbage
244,Cauliflower
245,Celery
246,Radishes
247,Turnips
248,Eggplants
249,Gourds
250,Cranberries
251,NA
252,NA
253,NA
254,Dbl Crop Barley/Soybeans
255,NA
